Symbol Name,Character,UEB,UEB MathML example,BAUK,BAUK MathML example,Marburg,Marburg Mathml example,Unified Spanish ,Unified Spanish mathml example,Woluwe,Woluwe mathml example,Antoine,Antoine mathml example,Italian,Italian mathml example,Swedish,Sweden mathml example,Finnish,Mathml  example,Russian,Mathml example,Unified Arabic,Unified Arabic ASCII
,,,,,,⠹⠶⠂,,,,,,,,,,,,,,,,,
rightwards double arrow with stroke (does not imply),,,,,,,,,,,,⠨⠒⠂,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mi mathvariant=""normal""> </mi><mo mathvariant=""normal"">⇏</mo><mi mathvariant=""normal""> </mi><mi mathvariant=""italic"">y</mi></math>",,,,,⠐⠤⠤⠱,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mi mathvariant=""normal""> </mi><mo mathvariant=""normal"">⇏</mo><mi mathvariant=""normal""> </mi><mi mathvariant=""italic"">y</mi></math>",,,⠳⠈⠻⠒⠒⠕⠕,|@}33oo
rightwards harpoon with barb downwards,,,,⠒⠔,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""normal"">A</mi><mo mathvariant=""normal"">⇀</mo><mi mathvariant=""normal"">B</mi></math>",,,,,,,,,,,,,,,,,⠻⠳⠠⠗,"}|,r"
rightwards harpoon with barb upwards,,⠳⠈⠗,,⠒⠑,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""normal"">A</mi><mo mathvariant=""normal"">⇀</mo><mi mathvariant=""normal"">B</mi></math>",,,,,,,,,,,⠘⠦⠓⠓⠁⠗⠏⠥⠝⠘⠴,,,,,,⠻⠳⠈⠗,}|@r
rightwards open-headed arrow,,,,,,,,,,,,,,,,,,,,,,⠻⠒⠒⠳,}33|
rightwards paired arrows,,,,,,,,,,,,,,,,,,,,,,⠻⠒⠒⠕⠻⠒⠒⠕,}33o}33o
rightwards squiggle arrow,,,,,,,,,,,,,,,,,,,,,,⠻⠢⠤⠔⠒⠢⠕,}5-935o
rightwards triple arrow,,,,,,,,,,,,,,,,,,,,,,⠻⠒⠒⠕⠕⠕,}33ooo
rightwards two headed arrow,,⠰⠳⠒⠒⠗⠗⠕,,⠒⠕⠕,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mi mathvariant=""normal""> </mi><mo mathvariant=""normal"">↠</mo><mi mathvariant=""normal""> </mi><mi mathvariant=""italic"">B</mi></math>",,,,,,,,,,,,,,,,,⠻⠒⠒⠕⠕,}33oo
rightwards wave arrow,,,,,,,,,,,,,,,,,,,,,,⠻⠔⠒⠢⠕,}935o
rightwards white arrow,,,,,,,,,,,,,,,,,,,,,,⠻⠸⠒⠒⠕,}_33o
roman number fifty,,,,,,⠘⠇,,⠨⠇,,,,,,,,⠠⠇,,⠠⠇,,⠨⠇,,,
roman number five,,⠰⠠⠧,,⠰⠠⠧,,⠘⠧,,⠨⠧,,,,,,,,⠠⠧,,⠠⠧,,⠨⠧,,,
roman number five hundred,,,,,,⠘⠙,,⠨⠙,,,,,,,,⠠⠙,,⠠⠙,,⠨⠙,,,
roman number one,,⠰⠠⠊,,⠰⠠⠊,,⠘⠊,,⠨⠊,,,,,,⠨⠊,,⠠⠊,,⠠⠊,,⠨⠊,,,
roman number one hundred,,,,,,⠘⠉,,,,,,,,,,⠠⠉,,⠠⠉,,⠨⠉,,,
roman number one thousand,,,,,,⠘⠍,,,,,,,,,,⠠⠍,,⠠⠍,,⠨⠍,,,
roman number ten,,⠰⠠⠭,,⠰⠠⠭,,⠘⠭,,⠨⠭,,,,,,,,⠠⠭,,⠠⠭,,⠨⠭,,,
rot,,,,⠫⠩,,⠫⠗,,,,,,,,,,,,,,,,,
Russian letter indicator,,,,,,,,,,,,,,,,,,,,,,,
sanserif type indicator,,,,,,,,,,,,,,,,,,,,,,,
scalene triangle,,,,,,,,,,,,,,,,,,,,,,,
script-type indicator,,,,,,,,,,,,⠐,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""script"">C</mi></math>",,,,,,,,,,
script capital p (Weierstrass P function),,,,,,⠈⠏,,,,,,,,⠸⠨⠏,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>&#x2118;</mo><mi>(A)</mi></math>",,,,,,,,
script small l ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
secant,,,,⠫⠤,,⠫⠤,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">sec</mi><mi mathvariant=""italic"">x</mi></math>",⠎⠑⠉⠄,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""normal"">sec</mi><mi mathvariant=""italic"">x</mi></math>",,,,,,,,,⠎⠑⠉,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""normal"">sec</mi><mi mathvariant=""italic"">x</mi></math>",,,,
second inner radical indicator,,,,,,,,,,,,,,,,,,,,,,,
segment,,,,,,,,,,,,,,,,,,,,,,⠷⠠⠎⠯⠾,"(,s&)"
semicolon,;,⠆,,,,,,,,⠆,,,,,,⠆,,,,⠆,,,
shaded circle (vertical fill),,,,,,,,,,,,,,,,,,,,,,⠻⠫⠿,}$=
shaded shape indicator,,⠨⠫,,,,,,,,,,,,,,,,,,,,,
shaded square,,⠨⠫⠼⠙,,,,,,,,,,,,,,,,,,,,⠻⠙⠤,}d-
shape indicator,,⠫,,,,⠻,,,,⠻,,,,,,,,⠫,,,,⠻,}
short arrow pointing right over long arrow pointing left,,,,⠢⠢⠒⠑,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mo mathvariant=""normal"">⥄</mo><mi mathvariant=""italic"">B</mi></math>",,,,,,,,,,,,,,,,,,
short dash,,,,,,⠤,,,,,,,,,,,,,,,,,
short double arrow shaft  ,,⠶,,,,,,,,,,,,,,,,,,,,,
short single arrow shaft,,⠒,,,,,,,,,,,,,,,,,,,,,
"simple tilde (is related to, is similar)",~,⠈⠔,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo mathvariant=""normal"">&sim;</mo><mi mathvariant=""normal"">p</mi><mo mathvariant=""normal"">&and;</mo><mi mathvariant=""normal"">q</mi></math>",⠐⠤,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&sim;</mo><mi mathvariant=""italic"">y</mi></math>",⠢,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&sim;</mo><mi mathvariant=""italic"">y</mi></math>",⠐⠢⠄,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&sim;</mo><mi mathvariant=""italic"">y</mi></math>",⠢,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&sim;</mo><mi mathvariant=""italic"">y</mi></math>",⠘⠶,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&sim;</mo><mi mathvariant=""italic"">y</mi></math>",⠐⠶⠂,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&sim;</mo><mi mathvariant=""italic"">y</mi></math>",⠘⠒,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&sim;</mo><mi mathvariant=""italic"">y</mi></math>",⠨⠶,,⠢,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">&sim;</mo><mi mathvariant=""italic"">y</mi></math>",,
since (because),,⠈⠌,,⠈⠌,,,,⠈⠌,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo mathvariant=""normal"">∵</mo><mi mathvariant=""italic"">A</mi><mi mathvariant=""italic"">B</mi></math>",,,,,,,⠘⠦⠁⠡⠘⠴,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>&#x2235;</mo><mi>P</mi><mo>(</mo><mi>a</mi><mo>)</mo></math>",,,,,⠈⠌, @/
sine,,⠎⠔,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""normal"">x</mi><mi mathvariant=""normal"">s</mi><mi mathvariant=""normal"">i</mi><mi mathvariant=""normal"">n</mi><mn mathvariant=""normal"">3</mn><mn mathvariant=""normal"">0</mn></math>",⠫⠎,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">sin</mi><mi mathvariant=""italic"">x</mi></math>",⠫⠎,,⠎⠊⠝⠄,,⠎⠊⠝,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">sin</mi><mi mathvariant=""italic"">a</mi></math>",⠬,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>sin</mi><mo>(</mo><mi>a</mi><mo>+</mo><mi>b</mi><mo>)</mo></math>",,,⠎⠊⠝,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">sin</mi><mi mathvariant=""italic"">x</mi></math>",⠎⠊⠝,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">sin</mi><mi mathvariant=""italic"">x</mi></math>",⠫⠎,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">sin</mi><mi mathvariant=""italic"">x</mi></math>",,
,,,,,,,,⠎⠑⠝⠄,,,,⠎⠊⠝,,,,,,,,,,,
single enlarged vertical bar,,⠠⠸⠳,,,,,,,,,,⠸⠿,,,,,,,,,,,
single section mark,§,⠘⠎,,,,,,,,,,,,,,,,⠼,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""normal"">§</mi><mn mathvariant=""normal"">5</mn></math>",⠬,,⠘⠎,^s
single capitalization indicator,,⠠,,,,,,,,,,,,,,,,,,,,,
single dagger,,⠈⠠⠹,,,,,,,,,,,,,,,,,,,,⠈⠠⠹," @,?"
single integral,∫,⠮,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mstyle displaystyle=""true"" mathvariant=""normal""><mo>&int;</mo></mstyle><msup><mi mathvariant=""normal"">x</mi><mrow><mn mathvariant=""normal"">2</mn></mrow></msup><mi mathvariant=""normal"">d</mi><mi mathvariant=""normal"">x</mi></math>",⠮,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mstyle displaystyle=""true"" mathvariant=""normal""><mo>&int;</mo></mstyle><mrow><mi mathvariant=""italic"">E</mi></mrow></msub><mi mathvariant=""italic"">f</mi><mi mathvariant=""italic"">d</mi><mi mathvariant=""italic"">&mu;</mi></math>",⠮,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msubsup><mstyle displaystyle=""true"" mathvariant=""normal""><mo>&int;</mo></mstyle><mrow><msub><mi mathvariant=""italic"">x</mi><mrow><mi mathvariant=""italic"">k</mi><mo mathvariant=""normal"">-</mo><mn mathvariant=""normal"">1</mn></mrow></msub></mrow><mrow><msub><mi mathvariant=""italic"">x</mi><mrow><mi mathvariant=""italic"">k</mi><mi mathvariant=""normal"">+</mi><mn mathvariant=""normal"">1</mn></mrow></msub></mrow></msubsup></math>",⠯⠱,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msubsup><mstyle displaystyle=""true"" mathvariant=""normal""><mo>&int;</mo></mstyle><mrow><mi mathvariant=""italic"">a</mi></mrow><mrow><mi mathvariant=""italic"">b</mi></mrow></msubsup></math>",⠮,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msubsup><mstyle displaystyle=""true"" mathvariant=""normal""><mo>&int;</mo></mstyle><mrow><mi mathvariant=""italic"">a</mi></mrow><mrow><mi mathvariant=""italic"">b</mi></mrow></msubsup><mi mathvariant=""italic"">f</mi><mi mathvariant=""normal"">(</mi><mi mathvariant=""italic"">x</mi><mi mathvariant=""normal"">)</mi><mi mathvariant=""italic"">d</mi><mi mathvariant=""italic"">x</mi></math>",⠯,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msubsup><mstyle displaystyle=""true"" mathvariant=""normal""><mo>&int;</mo></mstyle><mrow><mi mathvariant=""italic"">a</mi></mrow><mrow><mi mathvariant=""italic"">b</mi></mrow></msubsup><mi mathvariant=""italic"">f</mi><mi mathvariant=""normal"">(</mi><mi mathvariant=""italic"">x</mi><mi mathvariant=""normal"">)</mi><mi mathvariant=""italic"">d</mi><mi mathvariant=""italic"">x</mi></math>",⠻,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msubsup><mo>&#x222B;</mo><mi>a</mi><mi>b</mi></msubsup><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>d</mo><mi>x</mi></math>",⠮,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msubsup><mo>&#x222B;</mo><mi>a</mi><mi>b</mi></msubsup><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mi>d</mi><mi>x</mi></math>",⠮,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msubsup><mo>&#x222B;</mo><mi>&#x3C0;</mi><mrow><mn>2</mn><mi>&#x3C0;</mi></mrow></msubsup><msup><mi>tan</mi><mn>2</mn></msup><mi>x</mi><mi>d</mi><mi>x</mi></math>",,,⠐⠮,"""!"
short single arrow shaft,,,,,,,,,,,,,,,,,,,,,,,
small black square,,,,,,,,,,,,,,,,,,,,,,⠸⠲,_4
small contains as member,,,,,,,,,,,,,,,,,,,,,,⠸⠈⠢, _@5
small roman number fifty,,,,,,⠇,,,,,,,,,,,,,,,,,
small roman number five,,,,,,⠧,,,,,,,,,,,,,,,,,
small roman number five hundred,,,,,,⠙,,,,,,,,,,,,,,,,,
small roman number one,,⠰⠊,,,,⠊,,,,,,,,,,⠊,,,,,,,
small roman number one hundred,,,,,,⠉,,,,,,,,,,,,,,,,,
small roman number one thousand,,,,,,⠍,,,,,,,,,,,,,,,,,
small roman number ten,,⠰⠭,,,,⠭,,,,,,,,,,⠭,,,,,,,
small white square (d'Alembert operator),,,,,,,,,,,,⠸⠹,,,,,,,,,,,
south east arrow,,⠳⠣ ,,,,⠹⠢⠂,,⠡⠂,,,,⠨⠱,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">↘</mo><mi mathvariant=""italic"">y</mi></math>",,,⠘⠦⠎⠕⠏⠊⠇⠘⠴,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">↘</mo><mi mathvariant=""italic"">y</mi></math>",⠢⠱,,,,⠻⠳⠣,}|<
south east double arrow,,,,,,,,,,,,,,,,,,,,,,⠻⠰⠒⠒⠕⠕,};33oo
south west arrow,,⠳⠜,,,, ,,,,,,⠨⠪,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">↙</mo><mi mathvariant=""italic"">y</mi></math>",,,⠘⠦⠎⠧⠏⠊⠇⠘⠴,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">x</mi><mo mathvariant=""normal"">↙</mo><mi mathvariant=""italic"">y</mi></math>",,,,,⠻⠳⠜,}|>
south west double arrow,,,,,,,,,,,,,,,,,,,,,,⠻⠰⠪⠪⠒⠒,};{{33
spherical angle,,,,,,⠻⠪,,,,,,,,,,,,,,,,⠻⠘⠪,}^{
square,□,⠫⠼⠙,,⠫⠟,,⠻⠶,,⠸⠽,,⠻⠶,,,,,,⠻⠅,,⠫⠟,,,,⠻⠙,}d
square with interior diagonals,,,,,,,,,,,,,,,,,,,,,,,
square with interior dot,,,,,,,,,,,,,,,,,,,,,,,
square with interior horizontal bar,,,,,,,,,,,,,,,,,,,,,,,
square with interior northwest-southeast diagonal,,,,,,,,,,,,,,,,,,,,,,,
square with interior southwest-northeast diagonal,,,,,,,,,,,,,,,,,,,,,,,
square with interior vertical bar  ,,,,,,,,,,,,,,,,,,,,,,,
star,,,,,,,,,,,,,,,,,,,,,,,
straight angle,,,,,,,,,,,,,,,,,,,,,,,
"straight division signs on left and right , separation line above",,,,,,,,,,,,,,,,,,,,,,,
"straight division signs on left and right, separation line below",,,,,,,,,,,,,,,,,,,,,,,
straight left full arrowhead,,,,,,,,,,,,,,,,,,,,,,,
straight left lower arrowhead,,⠠⠳,,,,,,,,,,,,,,,,,,,,,
straight left upper arrowhead,,⠈⠳,,,,,,,,,,,,,,,,,,,,,
"straight or slant division sign on left, separation line above",,,,,,,,,,,,,,,,,,,,,,,
straight or slant division sign on right separation line above,,,,,,,,,,,,,,,,,,,,,,,
"straight or slant division sign on left, separation line below",,,,,,,,,,,,,,,,,,,,,,,
"straight or slant division sign on right, separation line below",,,,,,,,,,,,,,,,,,,,,,,
straight right full arrowhead,,,,,,,,,,,,,,,,,,,,,,,
straight right lower arrowhead,,,,,,,,,,,,,,,,,,,,,,,
straight right upper arrowhead,,,,,,,,,,,,,,,,,,,,,,,
straightness,,,,,,,,,,,,,,,,,,,,,,⠠⠖⠯,",6&"
structural shape indicator,,,,,,,,,,,,,,,,,,,,,,,
subscript indicator,,⠢,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mi mathvariant=""normal"">x</mi><mrow><mn mathvariant=""normal"">2</mn><mi mathvariant=""normal"">y</mi></mrow></msub></math>",⠡,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mmultiscripts><mi>N</mi><mprescripts/><mi>m</mi><mi>n</mi></mmultiscripts></math>",⠡,,⠌,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mi>z</mi><mi>r</mi></msub></math>",⠡,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mi>x</mi><mn>2</mn></msub></math>",⠢,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mi>a</mi><mi>p</mi></msub></math>",⠐,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mi>a</mi><mn>1</mn></msub></math>",⠣,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mi>x</mi><mn>1</mn></msub></math>",⠡,,⠡,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mi>b</mi><mn>7</mn></msub></math>",⠼⠔,#9
,,,,,,,,,,,,,,,,,,,,,,,
subscript with subscript indicator,,,,,,,,,,,,,,,,,,,,,,,
subscript with subscript with subscript indicator,,,,,,,,,,,,,,,,,,,,,,,
  subscript with subscript with superscript indicator,,,,,,,,,,,,,,,,,,,,,,,
subscript with superscript indicator,,,,,,,,,,,,,,,,,,,,,,,
subscript with superscript with subscript indicator,,,,,,,,,,,,,,,,,,,,,,,
subscript with superscript with superscript indicator,,,,,,,,,,,,,,,,,,,,,,,
subset of with not equal to (proper subset),,⠨⠘⠣,,,,,,,,,,,,,,,,,,,,⠘⠘⠣,^^<
superposition indicator,,⠯,,,,,,,,,,,,,,,,,,,,,
superscript indicator,,⠔,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mi mathvariant=""normal"">y</mi><mrow><mn mathvariant=""normal"">2</mn><mi mathvariant=""normal"">x</mi></mrow></msup></math>",⠬,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mmultiscripts><mi>N</mi><mprescripts/><mi>m</mi><mi>n</mi></mmultiscripts></math>",⠌,,⠡,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mi>z</mi><mi>r</mi></msup></math>",⠌,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mi>x</mi><mn>2</mn></msup><mi>y</mi></math>",⠈,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mi>e</mi><mn>7</mn></msup></math>",⠰,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mi>a</mi><mn>1</mn></msup></math>",⠬,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mi>z</mi><mi>n</mi></msup></math>",⠬,,⠌,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msup><mi>a</mi><mi>n</mi></msup></math>",⠼⠢,#5
,,,,,,,,,,,,,,,,,,,,,,,
superscript indicator with superscript indicator,,,,,,,,,,,,,,,,,,,,,,,
superscript indicator with superscript indicator with superscript indicator,,,,,,,,,,,,,,,,,,,,,,,
superscript with subscript indicator,,,,,,,,,,,,,,,,,,,,,,,
superscript with subscript with subscript indicator,,,,,,,,,,,,,,,,,,,,,,,
superscript with superscript with subscript indicator,,,,,,,,,,,,,,,,,,,,,,,
superset of with not equal to (proper superset),,⠨⠘⠜,,,,,,,,,,,,,,,,,,,,⠘⠘⠜,^^>
supplementary angles,,,,,,,,,,,,,,,,,,,,,,,
supremum,,,,⠫⠎⠥⠏,,,,,,,,,,,,,,,,,,,
"synthetic division with straight line on left, separation line below",,,,,,,,,,,,,,,,,,,,,,,
"synthetic division with straight line on right, separation line below",,,,,,,,,,,,,,,,,,,,,,,
tally mark,,⠸,,,,,,,,,,,,,,,,,,,,⠸,_
tangent,,⠞⠁⠝,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">tan</mi><mi mathvariant=""normal"">(</mi><mi mathvariant=""normal"">x</mi><mi mathvariant=""normal"">)</mi></math>",⠫⠞,,⠫⠞,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">tan</mi><mi mathvariant=""italic"">x</mi></math>",⠞⠁⠝⠄,,,,⠮,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>tan</mi><mo>(</mo><mi>a</mi><mo>+</mo><mi>b</mi><mo>)</mo></math>",,,⠞⠁⠝,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">tan</mi><mi mathvariant=""italic"">x</mi></math>",⠞⠁⠝,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">tan</mi><mi mathvariant=""italic"">x</mi></math>",⠫⠞,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi class=""unknown_entity"" mathvariant=""normal"">tan</mi><mi mathvariant=""italic"">x</mi></math>",,
,,,,,,,,⠞⠛⠄,,,,⠞⠁⠝,,,,,,,,,,,
termination indicator,,,,,,,,,,⠱,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><msub><mi>a</mi><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mi>y</mi></mrow></msub></math>",,,,,⠱,,,,⠱,,,
therefore (regular),,⠠⠡,,⠠⠡,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo mathvariant=""normal"">∴</mo><mi mathvariant=""italic"">A</mi><mi mathvariant=""italic"">B</mi></math>",,,⠠⠡,,,,,,,,⠘⠦⠙⠄⠁⠄⠘⠴,,,,,,⠈⠡, @*
third inner radical indicator,,,,,,,,,,,,,,,,,,,,,,,
three rightwards arrows,,,,,,,,,,,,,,,,,,,,,,⠻⠒⠒⠕⠻⠒⠒⠕⠻⠒⠒⠕,}33o}33o}33o
tilde with rising dots,,,,,,,,⠨⠢⠄,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi>x</mi><mo mathvariant=""normal"">⩫</mo><mi>y</mi></math>",,,,,,,,,,,,,,
Πρέπει να αλλάξει όλο. Σε U+223B Homothetic,,,,,,,,,,,,,,,,,,,,,,,
tombstone (end of proof),,,,⠿⠿,,,,,,,,,,,,,,,,,,⠬⠳, +|
trapezoid,,,,,,,,,,,,,,,,,,,,,,,
triple integral,∭,,,,,⠮⠮⠮,,⠯⠯⠯⠱,,,,,,⠻⠻⠻,,⠮⠮⠮,,,,,,⠐⠮⠮⠮,"""!!!"
true (valid),,⠘⠸⠒,,⠸⠒,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mo mathvariant=""normal"">⊨</mo><mi mathvariant=""italic"">x</mi></math>",,,,,,,,,,,⠻⠍,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">P</mi><mo mathvariant=""normal"">⊨</mo><mi mathvariant=""italic"">F</mi></math>",,,,,⠘⠸⠒,^_3
two dots over and two dots under equals sign,,,,,,,,,,,,,,,,,,,,,,,
union sign,,⠨⠖,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mo mathvariant=""normal"">∪</mo><mi mathvariant=""italic"">B</mi></math>",⠳⠖,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mo mathvariant=""normal"">∪</mo><mi mathvariant=""italic"">B</mi></math>",⠩⠄,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mo mathvariant=""normal"">∪</mo><mi mathvariant=""italic"">B</mi></math>",⠸⠜,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mo mathvariant=""normal"">∪</mo><mi mathvariant=""italic"">B</mi></math>",⠐⠩,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mo mathvariant=""normal"">∪</mo><mi mathvariant=""italic"">B</mi></math>",⠸⠖,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mo mathvariant=""normal"">∪</mo><mi mathvariant=""italic"">B</mi></math>",⠰⠖,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mo mathvariant=""normal"">∪</mo><mi mathvariant=""italic"">B</mi></math>",⠻⠥,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mo mathvariant=""normal"">∪</mo><mi mathvariant=""italic"">B</mi></math>",⠳⠖,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mo mathvariant=""normal"">∪</mo><mi mathvariant=""italic"">B</mi></math>",⠰⠴,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mi mathvariant=""italic"">A</mi><mo mathvariant=""normal"">∪</mo><mi mathvariant=""italic"">B</mi></math>",⠬⠖,
"universal quantifier (for all, for each, for every)",,⠘⠁,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo mathvariant=""normal"">&ForAll;</mo><mi mathvariant=""normal"">x</mi></math>",⠳⠂,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo mathvariant=""normal"">&ForAll;</mo><mi mathvariant=""normal"">x</mi></math>",⠯⠂,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo mathvariant=""normal"">&ForAll;</mo><mi mathvariant=""normal"">x</mi></math>",⠨⠄,,⠯⠂,,⠸⠌,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo>&#x2200;</mo><mi>x</mi></math>",⠨⠄,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo mathvariant=""normal"">&ForAll;</mo><mi mathvariant=""normal"">x</mi></math>",⠻⠠⠁,,⠳⠂,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo mathvariant=""normal"">&ForAll;</mo><mi mathvariant=""normal"">x</mi></math>",⠫⠄,"<math xmlns=""http://www.w3.org/1998/Math/MathML""><mo mathvariant=""normal"">&ForAll;</mo><mi mathvariant=""normal"">x</mi></math>",⠘⠁,^a
up down arrow with base,,,,,,,,,,,,,,,,,,,,,,⠻⠪⠒⠳⠒⠕,}{3|3o
